bin_index,n,mean_predicted_probability,observed_frequency,gap
0,1733,0.11862712270223026,0.11829197922677438,0.0003351434754558791
1,1733,0.19805169952552487,0.1829197922677438,0.015131907257781074
2,1733,0.24122268085997442,0.23427582227351415,0.0069468585864602694
3,1733,0.2673119559667657,0.26774379688401617,0.0004318409172504589
4,1733,0.28528327559181976,0.2850548182342758,0.00022845735754395413
5,1733,0.30278208353949654,0.276399307559146,0.026382775980350548
6,1733,0.3427423991763793,0.3514137334102712,0.008671334233891936
7,1733,0.409754931277352,0.4218118869013272,0.012056955623975185
8,1732,0.4969923367680595,0.5080831408775982,0.011090804109538721
9,1732,0.6701720931326308,0.6876443418013857,0.017472248668754853
