bin_index,n,mean_predicted_probability,observed_frequency,gap
0,1733,0.12053459129328639,0.11136757068667051,0.00916702060661588
1,1733,0.20101047430810984,0.1956145412579342,0.005395933050175633
2,1733,0.24413121558099446,0.2463935372186959,0.002262321637701431
3,1733,0.26821702762245886,0.2504327755337565,0.01778425208870238
4,1733,0.28485174983472134,0.2873629544143104,0.002511204579589088
5,1733,0.30156139604386006,0.2919792267743797,0.009582169269480356
6,1733,0.34506237830184483,0.3439122908251587,0.0011500874766861569
7,1733,0.4081969863289596,0.4281592613964224,0.019962275067462787
8,1732,0.49279290116499586,0.4971131639722864,0.004320262807290531
9,1732,0.6663783850759111,0.6812933025404158,0.014914917464504684
