market_id,timestamp,exchange,selection,decimal_odds,available_size_gbp,commission,notes
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,BestBookInPanel,home,2.80,1000,0.0,ILLUSTRATIVE best price from the synthetic panel -- fixed-odds bookmaker, available_size_gbp is a nominal placeholder (no real order book) -- see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,BestBookInPanel,draw,3.65,1000,0.0,ILLUSTRATIVE best price from the synthetic panel -- fixed-odds bookmaker, available_size_gbp is a nominal placeholder (no real order book) -- see checkpoint
E0-2026-09-18-BRE-CHE-1X2,2026-09-18T09:00:00,BestBookInPanel,away,2.60,1000,0.0,ILLUSTRATIVE best price from the synthetic panel -- fixed-odds bookmaker, available_size_gbp is a nominal placeholder (no real order book) -- see checkpoint
E0-2026-09-18-BRE-CHE-OU25,2026-09-18T09:00:00,BestBookInPanel,over,1.92,1000,0.0,ILLUSTRATIVE best price from the synthetic panel -- fixed-odds bookmaker, available_size_gbp is a nominal placeholder (no real order book) -- see checkpoint
E0-2026-09-18-BRE-CHE-OU25,2026-09-18T09:00:00,BestBookInPanel,under,1.98,1000,0.0,ILLUSTRATIVE best price from the synthetic panel -- fixed-odds bookmaker, available_size_gbp is a nominal placeholder (no real order book) -- see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,BestBookInPanel,home,2.05,1000,0.0,ILLUSTRATIVE best price from the synthetic panel -- fixed-odds bookmaker, available_size_gbp is a nominal placeholder (no real order book) -- see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,BestBookInPanel,draw,3.45,1000,0.0,ILLUSTRATIVE best price from the synthetic panel -- fixed-odds bookmaker, available_size_gbp is a nominal placeholder (no real order book) -- see checkpoint
E1-2026-09-18-BRC-WAT-1X2,2026-09-18T09:00:00,BestBookInPanel,away,3.90,1000,0.0,ILLUSTRATIVE best price from the synthetic panel -- fixed-odds bookmaker, available_size_gbp is a nominal placeholder (no real order book) -- see checkpoint
E1-2026-09-18-BRC-WAT-OU25,2026-09-18T09:00:00,BestBookInPanel,over,2.10,1000,0.0,ILLUSTRATIVE best price from the synthetic panel -- fixed-odds bookmaker, available_size_gbp is a nominal placeholder (no real order book) -- see checkpoint
E1-2026-09-18-BRC-WAT-OU25,2026-09-18T09:00:00,BestBookInPanel,under,1.80,1000,0.0,ILLUSTRATIVE best price from the synthetic panel -- fixed-odds bookmaker, available_size_gbp is a nominal placeholder (no real order book) -- see checkpoint
