match_id,year,tourney_date,tourney_name,level,surface,round,retired,player_a_name,player_b_name,market_id,scheduled_start,ltp_a,ltp_b,raw_sha256,outcome_a_won,p_a_elo_global,p_a_market_multiplicative,p_a_market_additive,p_a_market_power,p_a_market_odds_ratio,p_a_market_shin
WTA-2021-06751,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Daria Kasatkina,Qiang Wang,1.177663611,2021-01-06T06:09:15+00:00,1.78,2.28,a7b61a7b31750c622a0f1e6c9bc78842597f3d820cada5c7790d4991f8ca99d0,1,0.379509443996247,0.5615763546798029,0.5616006307904593,0.5616114201321128,0.5616006405124959,0.5616006307904446
WTA-2021-06771,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Anett Kontaveit,Veronika Kudermetova,1.177663639,2021-01-06T08:16:05+00:00,1.63,2.58,e1fc82d3778d0bf79f4f397efc1d1a2fcf3564c4b265a8738f101529a666d703,0,0.6758292063037371,0.6128266033254157,0.6129500166452656,0.6130053504085404,0.6129501590538278,0.6129500166450795
WTA-2021-06762,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Anastasia Potapova,Maria Sakkari,1.177663631,2021-01-06T10:01:06+00:00,5.0,1.25,e9795bf7ed8f4394aaa667a8d8d750b8481186358304725758e6068e9d02136c,0,0.2720913808192071,0.2,0.2,0.2,0.2,0.2
WTA-2021-06773,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Martina Trevisan,Yulia Putintseva,1.177663635,2021-01-06T10:24:32+00:00,3.7,1.34,320f180d1e636f482d82101d7c4b6f380978f22984c4fb3625e66db2323b8f5b,0,0.2872310811510546,0.26587301587301587,0.2620008067769262,0.2601043173750687,0.26191659549162644,0.2620008067772973
WTA-2021-06760,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Kirsten Flipkens,Laura Siegemund,1.177663623,2021-01-06T10:47:42+00:00,2.52,1.66,ab5c8b7c7d1c47112304fc3dc2f515c7e83610147ddf94262ed1c6b73fa49b75,1,0.2996086899509949,0.3971291866028708,0.3972078791355899,0.3972428997747909,0.3972078163301634,0.3971291866028708
WTA-2021-06764,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Anastasia Pavlyuchenkova,Ons Jabeur,1.177663599,2021-01-06T11:48:24+00:00,2.34,1.74,2fe8c2cdf99e3900daefb8356eba35122205f8731b77e4e45f82a20bf8321068,0,0.4052422555894286,0.42647058823529416,0.42631889183613325,0.42625104160223404,0.4263185712672334,0.4263188918361869
WTA-2021-06742,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Ajla Tomljanovic,Lin Zhu,1.177663595,2021-01-06T12:03:45+00:00,1.64,2.48,265812a13f5c48a6e25c3513aa81546da6fe6e7589f857055e9a722158486c4b,1,0.5344543024818421,0.6019417475728155,0.6032651455546814,0.6038798873072528,0.6032833275621908,0.6032651455548306
WTA-2021-06761,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Jasmine Paolini,Leylah Fernandez,1.177663627,2021-01-06T16:07:02+00:00,4.0,1.34,94474f4a28a6513c5b7774ee05c5089e0f3f73bd3f717480b07d804a0d5b547e,0,0.4080600602135632,0.250936329588015,0.2518656716417911,0.252292075834403,0.2518610879082732,0.250936329588015
WTA-2021-06752,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Ekaterina Alexandrova,Zarina Diyas,1.177663619,2021-01-06T16:59:18+00:00,1.34,3.95,29b91a7f5d2303c792165f1113f25b61777c87220f35df75a1879aaafd6e867a,1,0.7407253617155439,0.7466918714555766,0.7465520498771963,0.7464872257159406,0.7465521545272863,0.7466918714555766
WTA-2021-06766,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Nadia Podoroska,Sara Sorribes Tormo,1.177678490,2021-01-07T06:11:12+00:00,1.75,2.32,b67bd2f798e350bc38776dd791211c39be3902ade671501a0da26583a01ae6e7,0,0.6563056892949184,0.57002457002457,0.5701970443349753,0.5702742550112407,0.5701974787603431,0.5701970443351111
WTA-2021-06772,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Arantxa Rus,Xiyu Wang,1.177678522,2021-01-07T06:11:27+00:00,1.51,2.9,a55ba8bed3eaa0abdbbb9bcb8d4f3c95515c613242e2f9ec66592921bfb844ca,0,0.43746410655183915,0.6575963718820862,0.6587120347111213,0.6592268210606169,0.6587208804417184,0.658712034711318
WTA-2021-06768,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Marketa Vondrousova,Su Wei Hsieh,1.177678518,2021-01-07T08:10:48+00:00,1.4,3.5,545522f5a186096f1f062a9abebadf46887d0c7f088f682aac792707b740fbd7,0,0.6339701797018108,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
WTA-2021-06767,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Sofia Kenin,Zhaoxuan Yang,1.177710216,2021-01-07T09:31:47+00:00,1.06,18.0,6e9c2333619025cb5ee8aa6b38128fc75fbd9d8f2e7995f17d5f4f3d2c8a6bc6,1,0.8398195161373078,0.9443861490031479,0.9439203354297694,0.9436621886792392,0.9439226390888097,0.9443861490031479
WTA-2021-06757,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Danka Kovinic,Karolina Muchova,1.177678502,2021-01-07T10:20:35+00:00,5.2,1.24,af45c18d26c98d335ad2abe0b2bc026048ddd73ce41b5896e835f93c851a85df,0,0.2867436123547191,0.19254658385093165,0.1929280397022332,0.1931101233804716,0.19292728076779972,0.19254658385093165
WTA-2021-06749,2021,2021-01-06,Abu Dhabi,500/Premier,Hard,R64,False,Bianca Turati,Yaroslava Shvedova,1.177710209,2021-01-07T10:34:05+00:00,1.79,2.24,0a6a37e69581c1e69554207ef196186db83d2ba97000270ef2f1a97dd9031e05,1,0.5175268479899131,0.5558312655086849,0.5561153232242618,0.55624334958851,0.5561167943718228,0.5561153232243373
