market_id,event,selection,bookmaker,decimal_odds
M-FB-001,Arsenal vs Chelsea,home,Bookmaker A,2.10
M-FB-001,Arsenal vs Chelsea,draw,Bookmaker A,3.40
M-FB-001,Arsenal vs Chelsea,away,Bookmaker A,3.60
M-FB-001,Arsenal vs Chelsea,home,Bookmaker B,2.05
M-FB-001,Arsenal vs Chelsea,draw,Bookmaker B,3.50
M-FB-001,Arsenal vs Chelsea,away,Bookmaker B,3.75
M-FB-001,Arsenal vs Chelsea,home,Bookmaker C,2.15
M-FB-001,Arsenal vs Chelsea,draw,Bookmaker C,3.30
M-FB-001,Arsenal vs Chelsea,away,Bookmaker C,3.50
M-FB-001,Arsenal vs Chelsea,home,Bookmaker D,2.00
M-FB-001,Arsenal vs Chelsea,draw,Bookmaker D,3.60
M-FB-001,Arsenal vs Chelsea,away,Bookmaker D,3.80
M-FB-001,Arsenal vs Chelsea,home,Bookmaker E,2.12
M-FB-001,Arsenal vs Chelsea,draw,Bookmaker E,3.40
M-FB-001,Arsenal vs Chelsea,away,Bookmaker E,3.55
