bet_id,scan_id,created_at,event_id,event,kickoff,sport,competition,market,selection,bookmaker,quoted_odds,estimated_probability,fair_odds,break_even_probability,confidence,grade,recommended_stake,model_version,data_version,decision_reason,status,result,closing_odds_if_available,actual_pnl,paper_bankroll_after_settlement,money_qualified
Nottingham Forest v Arsenal::1x2::home,2026-09-19T23:02:20.680498,2026-09-19T23:16:48.426727+00:00,Nottingham Forest v Arsenal::1x2::home,Nottingham Forest v Arsenal,2026-10-18,football,Premier League,1x2,home,Betfred (UK),6.0,0.18364398208351396,5.445318646734854,0.16666666666666666,Low,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
Norwich City v Bolton Wanderers::1x2::away,2026-09-19T23:02:20.680498,2026-09-19T23:16:48.426727+00:00,Norwich City v Bolton Wanderers::1x2::away,Norwich City v Bolton Wanderers,2026-09-20,football,Championship,1x2,away,Matchbook,6.8,0.16151919866444076,6.191214470284237,0.14705882352941177,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
Manchester City v Ipswich Town::1x2::away,2026-09-19T23:02:20.680498,2026-09-19T23:16:48.426727+00:00,Manchester City v Ipswich Town::1x2::away,Manchester City v Ipswich Town,2026-10-17,football,Premier League,1x2,away,Paddy Power,14.0,0.07784431137724551,12.846153846153845,0.07142857142857142,Low,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
Arsenal v Leeds United::1x2::away,2026-09-19T23:02:20.680498,2026-09-19T23:16:48.426727+00:00,Arsenal v Leeds United::1x2::away,Arsenal v Leeds United,2026-10-10,football,Premier League,1x2,away,Betfair,11.0,0.09742466581073936,10.264341085271319,0.09090909090909091,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
Brighton and Hove Albion v Crystal Palace::1x2::away,2026-09-19T23:02:20.680498,2026-09-19T23:16:48.426727+00:00,Brighton and Hove Albion v Crystal Palace::1x2::away,Brighton and Hove Albion v Crystal Palace,2026-10-18,football,Premier League,1x2,away,Betfred (UK),5.5,0.19368723098995697,5.162962962962963,0.18181818181818182,Low,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
Leeds United v Crystal Palace::1x2::away,2026-09-19T23:02:20.680498,2026-09-19T23:16:48.426727+00:00,Leeds United v Crystal Palace::1x2::away,Leeds United v Crystal Palace,2026-09-20,football,Premier League,1x2,away,Matchbook,5.3,0.19950478355248186,5.012411142196695,0.18867924528301888,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
Manchester City v Sunderland::1x2::away,2026-09-19T23:02:20.680498,2026-09-19T23:16:48.426727+00:00,Manchester City v Sunderland::1x2::away,Manchester City v Sunderland,2026-09-20,football,Premier League,1x2,away,Betfair,10.5,0.10069584915916183,9.930895944075912,0.09523809523809523,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
Arsenal v Leeds United::1x2::draw,2026-09-19T23:02:20.680498,2026-09-19T23:16:48.426727+00:00,Arsenal v Leeds United::1x2::draw,Arsenal v Leeds United,2026-10-10,football,Premier League,1x2,draw,Betfair,5.6,0.1851068650404048,5.402284781721747,0.17857142857142858,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
Leeds United v Crystal Palace::over_under_2_5::under,2026-09-19T23:02:20.680498,2026-09-19T23:16:48.426727+00:00,Leeds United v Crystal Palace::over_under_2_5::under,Leeds United v Crystal Palace,2026-09-20,football,Premier League,over_under_2_5,under,Matchbook,2.32,0.4397905759162304,2.2738095238095237,0.4310344827586207,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
soccer_epl-b870dcfba5e5920d3f1551a3aa1ea435-1x2::draw,2026-09-20T22:45:09.625221,2026-09-20T22:45:09.638073+00:00,soccer_epl-b870dcfba5e5920d3f1551a3aa1ea435-1x2,Arsenal v Leeds United,2026-10-10,football,Premier League,1x2,draw,Betfair,5.7,0.18862690707350901,5.301470588235294,0.17543859649122806,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
soccer_epl-b870dcfba5e5920d3f1551a3aa1ea435-1x2::away,2026-09-20T22:45:09.625221,2026-09-20T22:45:09.638073+00:00,soccer_epl-b870dcfba5e5920d3f1551a3aa1ea435-1x2,Arsenal v Leeds United,2026-10-10,football,Premier League,1x2,away,Betfair,10.0,0.10914872882080393,9.161810776942355,0.1,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
soccer_epl-7895f97f2f9577f3b13287a3d086859d-1x2::away,2026-09-20T22:45:09.625221,2026-09-20T22:45:09.638073+00:00,soccer_epl-7895f97f2f9577f3b13287a3d086859d-1x2,Fulham v Hull City,2026-10-17,football,Premier League,1x2,away,Betfred (UK),6.0,0.17375841380180312,5.755116993302242,0.16666666666666666,Medium,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
soccer_epl-bf2142d1ca76ba2fc9e61afce80f86c0-1x2::draw,2026-09-20T22:45:09.625221,2026-09-20T22:45:09.638073+00:00,soccer_epl-bf2142d1ca76ba2fc9e61afce80f86c0-1x2,Manchester City v Ipswich Town,2026-10-17,football,Premier League,1x2,draw,Paddy Power,7.5,0.13831528017397088,7.229859193736332,0.13333333333333333,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
soccer_epl-bf2142d1ca76ba2fc9e61afce80f86c0-1x2::away,2026-09-20T22:45:09.625221,2026-09-20T22:45:09.638073+00:00,soccer_epl-bf2142d1ca76ba2fc9e61afce80f86c0-1x2,Manchester City v Ipswich Town,2026-10-17,football,Premier League,1x2,away,Paddy Power,14.0,0.07798978536688933,12.822191974188344,0.07142857142857142,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
soccer_epl-dfd5d6648be46426e418801584d46a68-1x2::home,2026-09-20T22:45:09.625221,2026-09-20T22:45:09.638073+00:00,soccer_epl-dfd5d6648be46426e418801584d46a68-1x2,Bournemouth v Sunderland,2026-10-18,football,Premier League,1x2,home,Betfair,1.93,0.5380495914560235,1.8585647417627176,0.5181347150259068,Low,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
soccer_epl-9fc08b390a49c4434f7cf631a0bb88fb-1x2::away,2026-09-20T22:45:09.625221,2026-09-20T22:45:09.638073+00:00,soccer_epl-9fc08b390a49c4434f7cf631a0bb88fb-1x2,Brighton and Hove Albion v Crystal Palace,2026-10-18,football,Premier League,1x2,away,Betfred (UK),6.0,0.18344181636334764,5.45131976898482,0.16666666666666666,Low,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
soccer_efl_champ-838aaa8567409b87835ad22ed9255e61-1x2::away,2026-09-20T22:45:09.625221,2026-09-20T22:45:09.638073+00:00,soccer_efl_champ-838aaa8567409b87835ad22ed9255e61-1x2,West Ham United v Queens Park Rangers,2026-10-09,football,Championship,1x2,away,Unibet (UK),6.5,0.16495566122606348,6.06223510346547,0.15384615384615385,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
soccer_efl_champ-e0fe5ad17865ef24994316c5e46dc8b1-1x2::away,2026-09-20T22:45:09.625221,2026-09-20T22:45:09.638073+00:00,soccer_efl_champ-e0fe5ad17865ef24994316c5e46dc8b1-1x2,Southampton v Portsmouth,2026-10-11,football,Championship,1x2,away,Unibet (UK),6.0,0.17721716239664786,5.642794334793589,0.16666666666666666,Medium,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
soccer_spl-672b72aadaf61287e9a244945c61d0d8-1x2::away,2026-09-21T13:45:43.575608,2026-09-21T13:45:43.586776+00:00,soccer_spl-672b72aadaf61287e9a244945c61d0d8-1x2,Rangers v Kilmarnock,2026-10-10,football,Scottish Premiership,1x2,away,Betfred (UK),15.0,0.07632093933463797,13.1025641025641,0.06666666666666667,High,B,0.0,daily-engine-v1.1.0-odds-api,daily-engine-v1.1.0-odds-api,net EV/edge below Grade A thresholds; paper trade only,pending,,,,,
