competition,season,split,purpose,included_rows,excluded_rows,notes
E0,2020_21,training,model fitting (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
E0,2021_22,training,model fitting (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
E0,2022_23,training,model fitting (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
E0,2023_24,validation,threshold tuning (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
E0,2024_25,test,final untouched evaluation (provisional),29,0,excerpt sample only (10 of ~380 matches) -- NOT the full test set
E1,2020_21,training,model fitting (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
E1,2021_22,training,model fitting (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
E1,2022_23,training,model fitting (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
E1,2023_24,validation,threshold tuning (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
E1,2024_25,test,final untouched evaluation (provisional),10,0,excerpt sample only (10 of ~552 matches) -- NOT the full test set
SC0,2020_21,training,model fitting (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
SC0,2021_22,training,model fitting (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
SC0,2022_23,training,model fitting (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
SC0,2023_24,validation,threshold tuning (provisional),0,0,NOT YET ACQUIRED -- pending full loader run
SC0,2024_25,test,final untouched evaluation (provisional),9,0,excerpt sample only (9 of ~228 matches) -- NOT the full test set
