model,band,n,mean_predicted_probability,actual_occurrence_rate,calibration_error_pp
naive,<50%,4640,0.4702945402299265,0.5153017241379311,4.500718390800457
naive,50-54.9%,0,,,
naive,55-59.9%,0,,,
naive,60-64.9%,0,,,
naive,65-69.9%,0,,,
naive,70-79.9%,0,,,
naive,80%+,0,,,
market,<50%,2441,0.44036064481769743,0.44489963129864807,0.45389864809506353
market,50-54.9%,867,0.5214279896193775,0.5340253748558247,1.2597385236447156
market,55-59.9%,577,0.5729858526863081,0.5892547660311959,1.626891334488778
market,60-64.9%,399,0.6231722807017543,0.631578947368421,0.8406666666666673
market,65-69.9%,224,0.672807973214286,0.6785714285714286,0.5763455357142622
market,70-79.9%,128,0.7271068515625001,0.7421875,1.50806484374999
market,80%+,4,0.80970175,0.75,-5.970174999999999
fundamentals,<50%,2575,0.44647846428967924,0.46640776699029124,1.9929302700611995
fundamentals,50-54.9%,1074,0.523928208180034,0.5484171322160148,2.4488924035980797
fundamentals,55-59.9%,597,0.5720683261252071,0.5829145728643216,1.0846246739114496
fundamentals,60-64.9%,252,0.621069298259844,0.6507936507936508,2.9724352533806786
fundamentals,65-69.9%,103,0.6688966067445309,0.6310679611650486,-3.782864557948229
fundamentals,70-79.9%,28,0.7251781502442987,0.6071428571428571,-11.803529310144157
fundamentals,80%+,0,,,
market_fundamentals,<50%,2648,0.4285391305125513,0.4550604229607251,2.6521292448173748
market_fundamentals,50-54.9%,758,0.5233138173674138,0.5408970976253298,1.7583280257916
market_fundamentals,55-59.9%,515,0.5732490165207339,0.5883495145631068,1.51004980423729
market_fundamentals,60-64.9%,376,0.6233412041496232,0.6329787234042553,0.9637519254632076
market_fundamentals,65-69.9%,230,0.673812828732554,0.6782608695652174,0.4448040832663369
market_fundamentals,70-79.9%,100,0.7260476050437528,0.71,-1.60476050437528
market_fundamentals,80%+,2,0.8114070918896554,0.5,-31.140709188965545
