band,model,n,mean_predicted,actual_win_rate,calibration_error
<30%,market,9217,0.2277,0.225,-0.0027
30-39.9%,market,3175,0.3412,0.3392,-0.002
40-49.9%,market,2029,0.4461,0.446,-0.0001
50-54.9%,market,688,0.5242,0.5291,0.0049
55-59.9%,market,583,0.5745,0.5832,0.0086
60-64.9%,market,376,0.6242,0.6037,-0.0204
65-69.9%,market,262,0.6761,0.7176,0.0414
70-79.9%,market,388,0.7466,0.7784,0.0317
80%+,market,175,0.837,0.88,0.043
<30%,fundamentals,9015,0.2223,0.2314,0.0091
30-39.9%,fundamentals,3168,0.3468,0.3472,0.0004
40-49.9%,fundamentals,2216,0.4473,0.4292,-0.0182
50-54.9%,fundamentals,751,0.5238,0.4874,-0.0365
55-59.9%,fundamentals,548,0.5737,0.5675,-0.0062
60-64.9%,fundamentals,425,0.6235,0.6071,-0.0164
65-69.9%,fundamentals,298,0.6725,0.6846,0.0121
70-79.9%,fundamentals,338,0.7429,0.7041,-0.0387
80%+,fundamentals,134,0.8435,0.8731,0.0297
