feature,band,n_winners,n_losers,mean_diff,cohens_d
elo_gap,0.500-0.650,345,260,4.8097,0.0572
diff_goals_for_last10,0.500-0.650,345,260,-0.037,-0.0639
diff_shots_for_last10,0.500-0.650,345,260,-0.1328,-0.0492
diff_points_per_game_last10,0.500-0.650,345,260,-0.0072,-0.0117
diff_goals_for_last5,0.500-0.650,345,260,-0.0514,-0.0692
diff_shots_for_last5,0.500-0.650,345,260,-0.268,-0.0815
diff_points_per_game_last5,0.500-0.650,345,260,0.0767,0.0944
diff_sot_for_last10,0.500-0.650,345,260,-0.0382,-0.0332
diff_sot_against_last10,0.500-0.650,345,260,0.0599,0.0499
diff_corners_for_last10,0.500-0.650,345,260,0.1516,0.1149
diff_cards_for_last10,0.500-0.650,345,260,-0.0407,-0.0615
