feature,n_winners,n_losers,mean_winners,mean_losers,mean_diff,cohens_d
elo_gap,1093,3408,-106.9049,-120.3318,13.4269,0.1769
diff_goals_for_last10,1093,3408,-0.526,-0.5714,0.0454,0.0979
diff_shots_for_last10,1093,3408,-2.5209,-2.9122,0.3913,0.1596
diff_points_per_game_last10,1093,3408,-0.583,-0.6173,0.0343,0.0747
diff_goals_for_last5,1093,3408,-0.6401,-0.696,0.0559,0.0995
diff_shots_for_last5,1093,3408,-3.0833,-3.3531,0.2698,0.0988
diff_points_per_game_last5,1093,3408,-0.7338,-0.7716,0.0378,0.0667
diff_sot_for_last10,1093,3408,-1.1008,-1.2381,0.1373,0.1349
diff_sot_against_last10,1093,3408,-1.0924,-1.173,0.0806,0.0905
diff_corners_for_last10,1093,3408,-1.3138,-1.4685,0.1547,0.1364
diff_cards_for_last10,1093,3408,-0.5214,-0.5367,0.0153,0.0374
