feature,n_favourite_won,n_favourite_lost,mean_when_won,mean_when_lost,cohens_d
elo_gap,2370,2131,105.1636,70.4887,0.3258
diff_goals_for_last10,2370,2131,0.3986,0.2664,0.2057
diff_shots_for_last10,2370,2131,2.3973,1.4361,0.3044
diff_points_per_game_last10,2370,2131,0.437,0.2885,0.2232
diff_goals_for_last5,2370,2131,0.4141,0.2585,0.1916
diff_shots_for_last5,2370,2131,2.3792,1.4911,0.2353
diff_points_per_game_last5,2370,2131,0.4612,0.2856,0.2024
diff_sot_for_last10,2370,2131,0.9803,0.5809,0.2957
diff_sot_against_last10,2370,2131,-0.7541,-0.4456,-0.2345
diff_corners_for_last10,2370,2131,1.0191,0.6396,0.2355
diff_cards_for_last10,2370,2131,-0.1324,-0.0487,-0.1261
