feature,cohens_d_discovery,cohens_d_validation,cohens_d_holdout,verdict
elo_gap,0.6321,0.6544,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
diff_goals_for_last10,0.4734,0.4498,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
diff_shots_for_last10,0.5366,0.5743,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
diff_points_per_game_last10,0.468,0.4859,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
diff_goals_for_last5,0.4048,0.3912,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
diff_shots_for_last5,0.4566,0.4864,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
diff_points_per_game_last5,0.4166,0.4078,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
diff_sot_for_last10,0.5318,0.5538,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
diff_sot_against_last10,-0.4055,-0.4941,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
diff_corners_for_last10,0.5075,0.4549,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
diff_cards_for_last10,-0.1856,-0.2133,DATA UNAVAILABLE (2025/26 not in cycle_002_discovery_features.csv),STABLE (discovery-validation)
