feature,n_underdog_won,n_underdog_lost,mean_when_won,mean_when_lost,cohens_d
elo_gap,1038,3463,-65.0125,-95.7125,0.2865
diff_goals_for_last10,1038,3463,-0.2419,-0.3645,0.1905
diff_shots_for_last10,1038,3463,-1.3799,-2.1077,0.2288
diff_points_per_game_last10,1038,3463,-0.2739,-0.3945,0.1808
diff_goals_for_last5,1038,3463,-0.2407,-0.3702,0.1591
diff_shots_for_last5,1038,3463,-1.4202,-2.1194,0.1845
diff_points_per_game_last5,1038,3463,-0.268,-0.4106,0.1638
diff_sot_for_last10,1038,3463,-0.5485,-0.8637,0.2319
diff_sot_against_last10,1038,3463,0.4125,0.6677,-0.1934
diff_corners_for_last10,1038,3463,-0.5834,-0.9139,0.2043
diff_cards_for_last10,1038,3463,0.031,0.1117,-0.1214
