feature,n_winners,n_losers,mean_winners,mean_losers,mean_diff,cohens_d
elo_gap,1708,2794,51.3317,-31.3796,82.7113,0.6321
diff_goals_for_last10,1708,2794,0.2146,-0.1312,0.3458,0.4734
diff_shots_for_last10,1708,2794,1.1888,-0.7267,1.9155,0.5366
diff_points_per_game_last10,1708,2794,0.2174,-0.1329,0.3503,0.468
diff_goals_for_last5,1708,2794,0.221,-0.1351,0.356,0.4048
diff_shots_for_last5,1708,2794,1.1533,-0.705,1.8583,0.4566
diff_points_per_game_last5,1708,2794,0.2411,-0.1474,0.3885,0.4166
diff_sot_for_last10,1708,2794,0.5002,-0.3058,0.8059,0.5318
diff_sot_against_last10,1708,2794,-0.352,0.2152,-0.5673,-0.4055
diff_corners_for_last10,1708,2794,0.5415,-0.331,0.8724,0.5075
diff_cards_for_last10,1708,2794,-0.0758,0.0463,-0.1222,-0.1856
