engine,threshold,n,share_of_events,mean_p,actual_rate,wilson_low,wilson_high
football_1x2_market_consensus,0.6,1217,0.2106994459833795,0.7092412792634307,0.7313064913722268,0.7057025457216063,0.75545479451473
football_1x2_market_consensus,0.65,856,0.1481994459833795,0.7450073447729424,0.7757009345794392,0.7465615573434697,0.802376848868492
football_1x2_market_consensus,0.7,601,0.10405124653739613,0.7747003125210795,0.7986688851913477,0.7647587253148562,0.8287852435459586
football_1x2_market_consensus,0.75,368,0.06371191135734072,0.8058766438243375,0.8396739130434783,0.7987070997298583,0.8736224484407039
football_1x2_market_consensus,0.8,188,0.03254847645429363,0.8372065648200839,0.8829787234042553,0.8291812792911781,0.9214385339921984
football_1x2_market_consensus,0.9,3,0.0005193905817174516,0.9060133051259465,1.0,0.4385029682449546,1.0
football_ou25_market,0.6,1127,0.24288793103448275,0.645924777284827,0.6495119787045253,0.6211909604681203,0.6768172151000471
football_ou25_market,0.65,398,0.08577586206896552,0.6913720904522613,0.6984924623115578,0.6516853994286037,0.741504493081968
football_ou25_market,0.7,132,0.028448275862068967,0.7296097272727273,0.7424242424242424,0.661712096021106,0.8094253649250231
football_ou25_market,0.75,20,0.004310344827586207,0.7724725,0.9,0.6989663547715128,0.9721335187862319
football_ou25_market,0.8,4,0.0008620689655172414,0.80970175,0.75,0.30064184258240184,0.9544127391902995
football_ou25_market,0.9,0,0.0,,,,
football_btts_market_implied,0.6,355,0.07725788900979326,0.6290032135434924,0.6563380281690141,0.6054969110663886,0.7038318949327658
football_btts_market_implied,0.65,64,0.013928182807399348,0.6735271632017548,0.734375,0.6151712627143486,0.8270362092577739
football_btts_market_implied,0.7,9,0.001958650707290533,0.7102568143952026,0.4444444444444444,0.18877852109766452,0.733348706504507
football_btts_market_implied,0.75,0,0.0,,,,
football_btts_market_implied,0.8,0,0.0,,,,
football_btts_market_implied,0.9,0,0.0,,,,
tennis_winner_global_elo_2025_holdout,0.6,1836,0.6285518657993838,0.7289130247106616,0.6917211328976035,0.6702164124615911,0.7124252530062866
tennis_winner_global_elo_2025_holdout,0.65,1376,0.47107155083875385,0.7638261205117347,0.7376453488372093,0.7137629019825831,0.7602045932099102
tennis_winner_global_elo_2025_holdout,0.7,1001,0.34269085929476206,0.7974545006426984,0.7532467532467533,0.7256047571143014,0.7789524499450364
tennis_winner_global_elo_2025_holdout,0.75,670,0.2293735022252653,0.8338734852281464,0.7880597014925373,0.7555167221842193,0.8173183192742682
tennis_winner_global_elo_2025_holdout,0.8,419,0.14344402601848683,0.8688778894045286,0.8233890214797136,0.7839853532548249,0.8569167965859681
tennis_winner_global_elo_2025_holdout,0.9,106,0.03628894214310168,0.9385981299515149,0.9150943396226415,0.8464662498497447,0.9546884411458633
tennis_winner_betfair_market_30min,0.6,5097,0.7142656950672646,0.7418026655432938,0.7376888365705316,0.725436701442882,0.7495829633635973
tennis_winner_betfair_market_30min,0.65,3933,0.5511491031390134,0.7764368365679123,0.7818459191456903,0.76866717841686,0.7944746252828289
tennis_winner_betfair_market_30min,0.7,2988,0.4187219730941704,0.8086805565998013,0.8149263721552878,0.8006002733949016,0.8284437538049338
tennis_winner_betfair_market_30min,0.75,2154,0.30184977578475336,0.8414628163263751,0.8477251624883937,0.831934169693571,0.8622780922298275
tennis_winner_betfair_market_30min,0.8,1478,0.2071188340807175,0.8723408923413887,0.8795669824086604,0.8619826032209345,0.8951834170177829
tennis_winner_betfair_market_30min,0.9,458,0.06418161434977579,0.9382906193726932,0.962882096069869,0.9413656473808117,0.9766983157001085
