engine,band,n,mean_p,occurred,actual_rate,calibration_error_pp,wilson_low,wilson_high
football_1x2_market_consensus,<50%,3289,0.4203190742395639,1405,0.4271815141380359,0.6862439898472017,0.41037050348243853,0.444162426210584
football_1x2_market_consensus,50-54.9%,680,0.5248241724403061,370,0.5441176470588235,1.929347461851738,0.5065402683358259,0.5811993666717851
football_1x2_market_consensus,55-59.9%,590,0.5747149533023217,345,0.5847457627118644,1.0030809409542707,0.5445610882455576,0.6238340254916837
football_1x2_market_consensus,60-64.9%,361,0.6244331017671925,226,0.6260387811634349,0.16056793962424543,0.5750450403488577,0.6743783675449341
football_1x2_market_consensus,65-69.9%,255,0.6750250952959602,184,0.7215686274509804,4.654353215502017,0.6635768318137366,0.7729838355339077
football_1x2_market_consensus,70-74.9%,233,0.725460441621513,171,0.7339055793991416,0.8445137777628564,0.6737036094775837,0.7865198688895241
football_1x2_market_consensus,75-79.9%,180,0.7731542818954469,143,0.7944444444444444,2.1290162548997515,0.729553985058642,0.847029777276408
football_1x2_market_consensus,80-89.9%,185,0.836090779842151,163,0.8810810810810811,4.499030123893011,0.8265156028698176,0.920142471477512
football_1x2_market_consensus,90%+,3,0.9060133051259465,3,1.0,9.398669487405353,0.4385029682449546,1.0
football_ou25_market,<50%,0,,0,,,,
football_ou25_market,50-54.9%,1960,0.5236255948979592,1017,0.5188775510204081,-0.47480438775511224,0.4967424839359279,0.5409387655700467
football_ou25_market,55-59.9%,1553,0.5731940695428204,905,0.5827430779137154,0.9549008370895007,0.5580436932872894,0.6070341304974634
football_ou25_market,60-64.9%,729,0.6211126639231824,454,0.6227709190672154,0.16582551440329496,0.5870293321643525,0.6572254078554753
football_ou25_market,65-69.9%,266,0.672397022556391,180,0.6766917293233082,0.42947067669172334,0.6183115449088131,0.7300411523038922
football_ou25_market,70-74.9%,112,0.7219556607142856,80,0.7142857142857143,-0.7669946428571328,0.6246078206764127,0.7897516020091828
football_ou25_market,75-79.9%,16,0.7631651875,15,0.9375,17.433481250000003,0.7167126242970107,0.9888806552353576
football_ou25_market,80-89.9%,4,0.80970175,3,0.75,-5.970174999999999,0.30064184258240184,0.9544127391902995
football_ou25_market,90%+,0,,0,,,,
football_btts_market_implied,<50%,0,,0,,,,
football_btts_market_implied,50-54.9%,3084,0.5232633010870199,1617,0.52431906614786,0.10557650608400415,0.5066740435950783,0.5419035799650664
football_btts_market_implied,55-59.9%,1156,0.5692111533093853,643,0.5562283737024222,-1.2982779606963146,0.5274488394350173,0.5846354450258794
football_btts_market_implied,60-64.9%,291,0.6192110046839433,186,0.6391752577319587,1.9964253048015412,0.5825153930165472,0.6922085224191703
football_btts_market_implied,65-69.9%,55,0.6675168566428268,43,0.7818181818181819,11.430132517535508,0.6562996597815998,0.8705397595887698
football_btts_market_implied,70-74.9%,9,0.7102568143952026,4,0.4444444444444444,-26.58123699507582,0.18877852109766452,0.733348706504507
football_btts_market_implied,75-79.9%,0,,0,,,,
football_btts_market_implied,80-89.9%,0,,0,,,,
football_btts_market_implied,90%+,0,,0,,,,
tennis_winner_global_elo_2025_holdout,<50%,0,,0,,,,
tennis_winner_global_elo_2025_holdout,50-54.9%,584,0.5251771549033493,317,0.5428082191780822,1.7631064274732933,0.5022566888371014,0.5828002584906835
tennis_winner_global_elo_2025_holdout,55-59.9%,501,0.5749302675957001,267,0.5329341317365269,-4.199613585917317,0.4891620518649333,0.5762050043136295
tennis_winner_global_elo_2025_holdout,60-64.9%,460,0.6244773294448429,255,0.5543478260869565,-7.012950335788637,0.5086627884090563,0.5991326642163383
tennis_winner_global_elo_2025_holdout,65-69.9%,375,0.6740607644821485,261,0.696,2.1939235517851485,0.6476507698108093,0.7403743435376618
tennis_winner_global_elo_2025_holdout,70-74.9%,331,0.7237363143217012,226,0.6827794561933535,-4.095685812834771,0.6307902531655819,0.7305747953148539
tennis_winner_global_elo_2025_holdout,75-79.9%,251,0.7754398384157793,183,0.7290836653386454,-4.635617307713391,0.6709556694364815,0.780305285245597
tennis_winner_global_elo_2025_holdout,80-89.9%,313,0.8452665619349421,248,0.792332268370607,-5.29342935643351,0.743982771694819,0.8335931575448036
tennis_winner_global_elo_2025_holdout,90%+,106,0.9385981299515149,97,0.9150943396226415,-2.3503790328873397,0.8464662498497447,0.9546884411458633
tennis_winner_betfair_market_30min,<50%,0,,0,,,,
tennis_winner_betfair_market_30min,50-54.9%,879,0.5265225715944536,463,0.5267349260523322,0.02123544578785941,0.4936835914426249,0.5595536002755608
tennis_winner_betfair_market_30min,55-59.9%,1160,0.5745952641638556,627,0.5405172413793103,-3.4078022784545303,0.5117519280707855,0.569015086446165
tennis_winner_betfair_market_30min,60-64.9%,1164,0.6247784433441316,685,0.5884879725085911,-3.629047083554049,0.5599715553011263,0.6164222509335165
tennis_winner_betfair_market_30min,65-69.9%,945,0.6744852646575585,640,0.6772486772486772,0.27634125911186747,0.6467743091734004,0.7062878350718229
tennis_winner_betfair_market_30min,70-74.9%,834,0.7240127059390816,609,0.7302158273381295,0.6203121399047884,0.6990878571592555,0.7592327427075739
tennis_winner_betfair_market_30min,75-79.9%,676,0.7739512832639637,526,0.7781065088757396,0.4155225611775948,0.7452609474359303,0.8078091766665904
tennis_winner_betfair_market_30min,80-89.9%,1020,0.8427281717724304,859,0.842156862745098,-0.05713090273323784,0.8185035280749137,0.8632426485294088
tennis_winner_betfair_market_30min,90%+,458,0.9382906193726932,441,0.962882096069869,2.4591476697175763,0.9413656473808117,0.9766983157001085
