market,period,method,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,50-54.9%,394,0.11331607707794075,0.5241099464859864,206.49931891547863,203,0.5152284263959391,-0.8881520090047279,0.4659721121329046,0.5641906568142311
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,55-59.9%,339,0.09749784296807593,0.573765175959678,194.50639465033083,194,0.5722713864306784,-0.14937895289995895,0.5190848575464728,0.623838347157387
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,60-64.9%,218,0.0626977279263733,0.6229331028471039,135.79941642066865,142,0.6513761467889908,2.8443043941886903,0.5859923709106675,0.7115173928226536
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,65-69.9%,142,0.04083980442910555,0.6737257991966734,95.66906348592762,97,0.6830985915492958,0.9372792352622339,0.6026107245671233,0.7539408377971273
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,70-74.9%,133,0.03825136612021858,0.7252838663672684,96.4627542268467,97,0.7293233082706767,0.4039441903408325,0.648164685740318,0.7976066508538746
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,75-79.9%,81,0.023295944779982744,0.7707089971434697,62.42742876862105,66,0.8148148148148148,4.410581767134502,0.7166841055275461,0.884437099940933
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,80-84.9%,81,0.023295944779982744,0.8217899830868638,66.56498863003597,69,0.8518518518518519,3.0061868764988064,0.758668429387898,0.9131729179004024
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,85-89.9%,35,0.01006614897900489,0.8673196506537568,30.356187772881487,31,0.8857142857142857,1.8394635060528852,0.7404853135378618,0.9546482066690264
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,90-94.9%,1,0.0002876042565429968,0.9102094511163082,0.9102094511163082,1,1.0,8.979054888369175,0.20654931437723745,1.0
football_1x2::primary_closing_B365_BW_PS,development,multiplicative,95%+,0,0.0,,0.0,0,,,,
football_1x2::primary_closing_B365_BW_PS,development,additive,50-54.9%,418,0.12021857923497267,0.5232947254179584,218.73719522470662,217,0.5191387559808612,-0.41559694370971734,0.47128537871590054,0.5666435627511848
football_1x2::primary_closing_B365_BW_PS,development,additive,55-59.9%,333,0.09577221742881795,0.5747151151591787,191.38013334800652,187,0.5615615615615616,-1.3153553597617162,0.5078655243950152,0.6138534591990588
football_1x2::primary_closing_B365_BW_PS,development,additive,60-64.9%,242,0.06960023008340524,0.6231461161007343,150.80136009637772,153,0.6322314049586777,0.9085288857943352,0.5698535832838325,0.6904767951112891
football_1x2::primary_closing_B365_BW_PS,development,additive,65-69.9%,148,0.04256542996836353,0.6744136967801897,99.81322712346807,102,0.6891891891891891,1.4775492408999447,0.6106317736646087,0.7581739559097429
