period,view,threshold,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high,share_of_matches,wilson995
development,all_events,0.6,7712,0.7393346754865305,0.7392584906187017,5701.161479651428,5738,0.7440352697095436,0.4776779090841843,0.7341756089959716,0.7536519364620838,2.2180040264595915,"[0.7298418333987672, 0.7577305477437549]"
development,all_events,0.65,6947,0.6659955900680663,0.7519128268798193,5223.538408334105,5268,0.7583129408377717,0.6400113957952369,0.748104944024483,0.7682354186873609,1.9979867702041991,"[0.7436076560241458, 0.7724329211989327]"
development,all_events,0.7,5534,0.5305339852363148,0.7697846634165094,4259.988327346963,4276,0.7726779906035417,0.28933271870322796,0.7614490308464517,0.7835286508805899,1.5916019557089445,"[0.7564825578953929, 0.7880980367295858]"
development,all_events,0.75,2706,0.2594190394017831,0.8198037522472791,2218.3889535811372,2225,0.8222468588322247,0.24431065849456202,0.8073886501976081,0.8361914361292792,0.7782571182053495,"[0.8006902581606344, 0.8419322457022101]"
development,all_events,0.8,1500,0.1438021282714984,0.8581059417623879,1287.1589126435817,1289,0.8593333333333333,0.12273915709454242,0.8408193912145902,0.8760114912411726,0.4314063848144953,"[0.8322527955497337, 0.8826584715059326]"
development,all_events,0.85,725,0.0695043619978909,0.8952130269563211,649.0294445433328,657,0.9062068965517242,1.099386959540305,0.8827923148266522,0.9253395400118948,0.20851308599367271,"[0.8712963168298691, 0.9323829365326473]"
development,all_events,0.9,299,0.028664557568785352,0.926895856543387,277.14186110647273,284,0.9498327759197325,2.2936919376345455,0.9188880862800552,0.9693654607987452,0.08599367270635605,"[0.9014470917509767, 0.9751186411885906]"
development,all_events,0.95,43,0.004122327677116288,0.9581022023248521,41.19839469996864,42,0.9767441860465116,1.8641983721659483,0.8794100655939282,0.9958829127256662,0.012366983031348864,"[0.808209713485796, 0.9976167882798554]"
development,best_selection,0.6,3477,1.0,0.7733227850928046,2688.843323767682,2699,0.7762438884095485,0.29211033167438893,0.7620906834291055,0.7897873675324092,1.0,"[0.7557923408989189, 0.7954462410546137]"
development,best_selection,0.65,3477,1.0,0.7733227850928046,2688.843323767682,2699,0.7762438884095485,0.29211033167438893,0.7620906834291055,0.7897873675324092,1.0,"[0.7557923408989189, 0.7954462410546137]"
