k,hca,mov,dev_log_loss
15,50,True,0.6272542650728168
20,50,True,0.6276747747487541
15,75,True,0.6287828785367023
20,75,True,0.6291323746917648
10,50,True,0.6292331460578666
25,50,True,0.6292468711108792
20,50,False,0.6304499504748624
25,75,True,0.6306743086157933
15,50,False,0.6309110431552757
10,75,True,0.6309203957895037
25,50,False,0.6313425369511746
20,75,False,0.6320190197529245
15,75,False,0.6326251482145046
25,75,False,0.6328122811218839
10,50,False,0.6340889810980378
15,100,True,0.6347880960732737
20,100,True,0.6350932834646357
10,75,False,0.6360290130952103
25,100,True,0.636645639528475
10,100,True,0.6370859422007468
20,100,False,0.638060024575601
25,100,False,0.638746120608587
15,100,False,0.6388360670222499
10,100,False,0.6425207017946347
