period,estimator,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
SEALED_HOLDOUT_2024_26,market,50-54.9%,328,0.12476226702168125,0.5269271949914788,172.83211995720504,158,0.4817073170731707,-4.5219877918308065,0.42815832909382107,0.5356798240934092
SEALED_HOLDOUT_2024_26,market,55-59.9%,375,0.14263978699125143,0.5745074175084338,215.4402815656627,226,0.6026666666666667,2.815924915823287,0.5523386314634814,0.6509126183857178
SEALED_HOLDOUT_2024_26,market,60-64.9%,383,0.14568276911373146,0.6236423023008094,238.85500178121,235,0.6135770234986945,-1.006527880211494,0.5639130664117714,0.6609852685940573
SEALED_HOLDOUT_2024_26,market,65-69.9%,387,0.14720426017497149,0.6752674759585533,261.3285131959601,253,0.6537467700258398,-2.152070593271349,0.6050432227159519,0.6994280592178141
SEALED_HOLDOUT_2024_26,market,70-74.9%,308,0.11715481171548117,0.7243650500118444,223.10443540364807,233,0.7564935064935064,3.212845648166207,0.7055927745566692,0.8010749424220678
SEALED_HOLDOUT_2024_26,market,75-79.9%,298,0.11335108406238113,0.7744996373449078,230.80089192878253,223,0.7483221476510067,-2.61774896939011,0.6961017188171803,0.7942219119333518
SEALED_HOLDOUT_2024_26,market,80-84.9%,259,0.09851654621529099,0.8247939599959838,213.62163563895982,213,0.8223938223938224,-0.24001376021614007,0.7712393691549635,0.8641246284019231
SEALED_HOLDOUT_2024_26,market,85-89.9%,223,0.08482312666413085,0.8722811865572406,194.51870460226465,201,0.9013452914798207,2.9064104922580047,0.8551526546763779,0.9339447216612069
SEALED_HOLDOUT_2024_26,market,90-94.9%,66,0.02510460251046025,0.91481269001496,60.37763754098736,65,0.9848484848484849,7.0035794833524845,0.9190407973793359,0.9973203594560177
SEALED_HOLDOUT_2024_26,market,95%+,2,0.0007607455306200076,0.9552701505757306,1.9105403011514612,2,1.0,4.472984942426939,0.34238022750665303,1.0
SEALED_HOLDOUT_2024_26,elo,50-54.9%,431,0.16394066184861164,0.5237273829802676,225.72650206449532,220,0.5104408352668214,-1.3286547713446173,0.4633636509182435,0.5573335476064976
SEALED_HOLDOUT_2024_26,elo,55-59.9%,434,0.16508178014454164,0.5752876718550943,249.67484958511096,255,0.5875576036866359,1.226993183154157,0.5406728579681328,0.6329059534233294
SEALED_HOLDOUT_2024_26,elo,60-64.9%,445,0.1692658805629517,0.6246673618584384,277.9769760270051,286,0.6426966292134831,1.8029267355044731,0.5971259282208903,0.6858247607232313
SEALED_HOLDOUT_2024_26,elo,65-69.9%,385,0.14644351464435146,0.6747402152563012,259.774982873676,260,0.6753246753246753,0.0584460068374093,0.6270186261092777,0.720166574793521
SEALED_HOLDOUT_2024_26,elo,70-74.9%,336,0.12780524914416128,0.7233070382780022,243.03116486140877,234,0.6964285714285714,-2.687846684943085,0.6452724665507764,0.743143945202109
SEALED_HOLDOUT_2024_26,elo,75-79.9%,278,0.10574362875618105,0.7744315676412292,215.2919758042617,227,0.8165467625899281,4.211519494869886,0.7668412835488664,0.857623267324645
SEALED_HOLDOUT_2024_26,elo,80-84.9%,190,0.07227082540890073,0.8242857084363542,156.6142846029073,157,0.8263157894736842,0.20300810373300449,0.7661275921788299,0.8735704412264057
SEALED_HOLDOUT_2024_26,elo,85-89.9%,101,0.038417649296310384,0.8735551372123465,88.229068858447,91,0.900990099009901,2.743496179755456,0.8272681581315193,0.9453269670329527
SEALED_HOLDOUT_2024_26,elo,90-94.9%,29,0.01103081019399011,0.9167192066782858,26.584856993670286,26,0.896551724137931,-2.016748254035472,0.736149189092262,0.9641851086493229
SEALED_HOLDOUT_2024_26,elo,95%+,0,0.0,,0.0,0,,,,
SEALED_HOLDOUT_2024_26,data_logit,50-54.9%,443,0.1685051350323317,0.5240641120337027,232.1604016309303,244,0.5507900677200903,2.672595568638758,0.5042313854757631,0.5964754739968655
SEALED_HOLDOUT_2024_26,data_logit,55-59.9%,424,0.16127805249144161,0.5747036677266694,243.67435511610782,243,0.5731132075471698,-0.15904601794995976,0.5255834148128598,0.6193300776076676
SEALED_HOLDOUT_2024_26,data_logit,60-64.9%,398,0.1513883605933815,0.6257736060642263,249.05789521356206,253,0.635678391959799,0.9904785895572754,0.5873110681392057,0.6814516431971345
