period,estimator,band,n,share_of_events,mean_predicted,expected_wins,actual_wins,actual_rate,difference_pp,wilson95_low,wilson95_high
development_2021_2023_exposed,market_multiplicative,50-54.9%,879,0.12317825112107623,0.5265225715944536,462.8133404315247,461,0.5244596131968146,-0.20629583976390364,0.491410518722488,0.5572958481686181
development_2021_2023_exposed,market_multiplicative,55-59.9%,1160,0.1625560538116592,0.5745952641638556,666.5305064300726,627,0.5405172413793103,-3.4078022784545303,0.5117519280707855,0.569015086446165
development_2021_2023_exposed,market_multiplicative,60-64.9%,1164,0.16311659192825112,0.6247784433441316,727.2421080525692,685,0.5884879725085911,-3.629047083554049,0.5599715553011263,0.6164222509335165
development_2021_2023_exposed,market_multiplicative,65-69.9%,945,0.13242713004484305,0.6744852646575585,637.3885751013928,640,0.6772486772486772,0.27634125911186747,0.6467743091734004,0.7062878350718229
development_2021_2023_exposed,market_multiplicative,70-74.9%,834,0.11687219730941704,0.7240127059390816,603.826596753194,609,0.7302158273381295,0.6203121399047884,0.6990878571592555,0.7592327427075739
development_2021_2023_exposed,market_multiplicative,75-79.9%,676,0.09473094170403587,0.7739512832639639,523.1910674864396,526,0.7781065088757396,0.4155225611775726,0.7452609474359303,0.8078091766665904
development_2021_2023_exposed,market_multiplicative,80-84.9%,630,0.0882847533632287,0.823847778593722,519.0241005140449,522,0.8285714285714286,0.4723649977706579,0.797172303540119,0.8559878743540119
development_2021_2023_exposed,market_multiplicative,85-89.9%,390,0.054652466367713,0.8732272684457287,340.5586346938342,337,0.8641025641025641,-0.9124704343164591,0.8265218197293,0.8945805265051475
development_2021_2023_exposed,market_multiplicative,90-94.9%,299,0.04190022421524664,0.923253799222377,276.05288596749074,286,0.9565217391304348,3.3267939908057764,0.9270440828347487,0.9744176954273794
development_2021_2023_exposed,market_multiplicative,95%+,159,0.022281390134529146,0.9665674069509607,153.68421770520274,155,0.9748427672955975,0.8275360344636828,0.9371079543519492,0.9901743304761865
development_2021_2023_exposed,market_additive,50-54.9%,879,0.12317825112107623,0.5265825142372199,462.8660300145163,461,0.5244596131968146,-0.2122901040405356,0.491410518722488,0.5572958481686181
development_2021_2023_exposed,market_additive,55-59.9%,1162,0.16283632286995517,0.5747905309034562,667.9065969098161,629,0.5413080895008606,-3.3482441402595597,0.5125686843152473,0.569775273582003
development_2021_2023_exposed,market_additive,60-64.9%,1161,0.16269618834080718,0.6250923674726131,725.7322386357038,679,0.5848406546080964,-4.025171286451668,0.5562624498277686,0.612859277861634
development_2021_2023_exposed,market_additive,65-69.9%,933,0.13074551569506726,0.674419226788042,629.2331385932432,635,0.6806002143622722,0.6180987574230246,0.6499947140594486,0.7097246352787192
development_2021_2023_exposed,market_additive,70-74.9%,842,0.11799327354260089,0.7238608351245891,609.490823174904,615,0.7304038004750594,0.6542965350470276,0.6994342252817716,0.7592805799028373
development_2021_2023_exposed,market_additive,75-79.9%,676,0.09473094170403587,0.7739197289239055,523.1697367525601,524,0.7751479289940828,0.1228200070177321,0.7421723940840307,0.805014005293995
development_2021_2023_exposed,market_additive,80-84.9%,624,0.08744394618834081,0.8236610918339503,513.964521304385,518,0.8301282051282052,0.6467113294254867,0.7986654000769161,0.857551219918011
development_2021_2023_exposed,market_additive,85-89.9%,401,0.05619394618834081,0.8727057101554554,349.9549897723376,346,0.8628428927680798,-0.98628173873756,0.82571306831922,0.8930868313938305
development_2021_2023_exposed,market_additive,90-94.9%,303,0.04246076233183856,0.9238069189546264,279.9134964432518,290,0.9570957095709571,3.328879061633072,0.9279886293504478,0.9747576979047219
development_2021_2023_exposed,market_additive,95%+,155,0.02172085201793722,0.9667214822898087,149.84182975492035,151,0.9741935483870968,0.7472066097288121,0.9355314540311528,0.9899196283965077
development_2021_2023_exposed,market_power,50-54.9%,880,0.12331838565022421,0.5266363218760679,463.43996325093974,461,0.5238636363636363,-0.2772685512431594,0.4908340015470362,0.5566858331256214
development_2021_2023_exposed,market_power,55-59.9%,1160,0.1625560538116592,0.5748600390278672,666.837645272326,629,0.5422413793103448,-3.2618659717522425,0.5134785737685679,0.5707253349831465
development_2021_2023_exposed,market_power,60-64.9%,1156,0.16199551569506726,0.6250773065920423,722.5893664204009,673,0.5821799307958477,-4.289737579619457,0.553522543153397,0.6102929495202212
development_2021_2023_exposed,market_power,65-69.9%,938,0.13144618834080718,0.6743849668510602,632.5730989062945,641,0.6833688699360341,0.8983903084973877,0.6529042282838373,0.7123377100257502
development_2021_2023_exposed,market_power,70-74.9%,843,0.11813340807174888,0.7240254261692782,610.3534342607015,615,0.7295373665480427,0.5511940378764457,0.6985605799567692,0.7584316893387536
development_2021_2023_exposed,market_power,75-79.9%,673,0.09431053811659193,0.7739732846080242,520.8840205412002,522,0.7756315007429421,0.16582161349179003,0.7426004765585494,0.8055337950128434
development_2021_2023_exposed,market_power,80-84.9%,638,0.08940582959641255,0.8242035400682527,525.8418585635452,530,0.8307210031347962,0.651746306654355,0.7996631286030838,0.8578201084183668
development_2021_2023_exposed,market_power,85-89.9%,385,0.0539517937219731,0.8731372467010334,336.15783997989786,332,0.8623376623376623,-1.079958436337114,0.8243256070225184,0.8931904748432653
development_2021_2023_exposed,market_power,90-94.9%,298,0.04176008968609866,0.9227615172721735,274.9829321471077,284,0.9530201342281879,3.0258616956014395,0.9226975448174012,0.9718117815518129
development_2021_2023_exposed,market_power,95%+,165,0.02312219730941704,0.9659175797984376,159.3764006667422,161,0.9757575757575757,0.9839995959138093,0.9393332721343275,0.990533130919738
development_2021_2023_exposed,market_odds_ratio,50-54.9%,879,0.12317825112107623,0.5265831273194609,462.8665689138061,461,0.5244596131968146,-0.21235141226463305,0.491410518722488,0.5572958481686181
development_2021_2023_exposed,market_odds_ratio,55-59.9%,1162,0.16283632286995517,0.5747929464032161,667.9094037205371,629,0.5413080895008606,-3.3484856902355475,0.5125686843152473,0.569775273582003
development_2021_2023_exposed,market_odds_ratio,60-64.9%,1161,0.16269618834080718,0.625097139281901,725.7377787062871,679,0.5848406546080964,-4.02564846738046,0.5562624498277686,0.612859277861634
development_2021_2023_exposed,market_odds_ratio,65-69.9%,933,0.13074551569506726,0.6744276570891851,629.2410040642096,635,0.6806002143622722,0.6172557273087187,0.6499947140594486,0.7097246352787192
development_2021_2023_exposed,market_odds_ratio,70-74.9%,842,0.11799327354260089,0.7238726197236749,609.5007458073343,615,0.7304038004750594,0.653118075138448,0.6994342252817716,0.7592805799028373
development_2021_2023_exposed,market_odds_ratio,75-79.9%,676,0.09473094170403587,0.773934701919202,523.1798584973806,524,0.7751479289940828,0.12132270748808072,0.7421723940840307,0.805014005293995
development_2021_2023_exposed,market_odds_ratio,80-84.9%,624,0.08744394618834081,0.8236807740463726,513.9768030049365,518,0.8301282051282052,0.6447431081832544,0.7986654000769161,0.857551219918011
development_2021_2023_exposed,market_odds_ratio,85-89.9%,400,0.05605381165919283,0.8726983507252314,349.07934029009255,345,0.8625,-1.0198350725231342,0.8252880733424808,0.8928155132651543
development_2021_2023_exposed,market_odds_ratio,90-94.9%,303,0.04246076233183856,0.9237867609719094,279.90738857448855,290,0.9570957095709571,3.330894859904776,0.9279886293504478,0.9747576979047219
development_2021_2023_exposed,market_odds_ratio,95%+,156,0.021860986547085202,0.9668232528912123,150.82442745102912,152,0.9743589743589743,0.7535721467762047,0.9359329413759742,0.9899845339269909
development_2021_2023_exposed,market_shin,50-54.9%,879,0.12317825112107623,0.5266004441760929,462.88179043078566,461,0.5244596131968146,-0.21408309792783076,0.491410518722488,0.5572958481686181
development_2021_2023_exposed,market_shin,55-59.9%,1160,0.1625560538116592,0.5748209569433134,666.7923100542436,627,0.5405172413793103,-3.4303715564003023,0.5117519280707855,0.569015086446165
development_2021_2023_exposed,market_shin,60-64.9%,1143,0.1601737668161435,0.6247100390128484,714.0435745916857,667,0.5835520559930009,-4.115798301984752,0.5547398459117254,0.6118045343345264
development_2021_2023_exposed,market_shin,65-69.9%,953,0.1335482062780269,0.6741267110021364,642.442755585036,649,0.6810073452256034,0.6880634223466964,0.6507396097763339,0.709821689924467
development_2021_2023_exposed,market_shin,70-74.9%,842,0.11799327354260089,0.7241525882630164,609.7364793174598,615,0.7304038004750594,0.6251212212042945,0.6994342252817716,0.7592805799028373
development_2021_2023_exposed,market_shin,75-79.9%,676,0.09473094170403587,0.7744107520046737,523.5016683551594,524,0.7751479289940828,0.07371769894091162,0.7421723940840307,0.805014005293995
development_2021_2023_exposed,market_shin,80-84.9%,624,0.08744394618834081,0.8241252612237512,514.2541630036208,518,0.8301282051282052,0.6002943904453995,0.7986654000769161,0.857551219918011
development_2021_2023_exposed,market_shin,85-89.9%,400,0.05605381165919283,0.8734693721947518,349.3877488779007,345,0.8625,-1.0969372194751803,0.8252880733424808,0.8928155132651543
development_2021_2023_exposed,market_shin,90-94.9%,298,0.04176008968609866,0.9240409845054818,275.3642133826336,285,0.9563758389261745,3.2334854420692727,0.9268040626600974,0.9743312587192591
development_2021_2023_exposed,market_shin,95%+,161,0.02256165919282511,0.9671606753562894,155.71286873236258,157,0.9751552795031055,0.7994604146816187,0.9378676444810962,0.9902969149361153
development_2021_2023_exposed,elo_global,50-54.9%,2019,0.28293161434977576,0.5233897205763096,1056.723845843569,1072,0.5309559187716691,0.756619819535953,0.5091498586316805,0.5526444057951887
development_2021_2023_exposed,elo_global,55-59.9%,1296,0.18161434977578475,0.573511771933492,743.2712564258056,746,0.5756172839506173,0.21055120171252772,0.5485240568784125,0.6022635631578223
development_2021_2023_exposed,elo_global,60-64.9%,1110,0.15554932735426008,0.6231766924146419,691.7261285802525,670,0.6036036036036037,-1.9573088811038253,0.5745179367122721,0.631974646391537
development_2021_2023_exposed,elo_global,65-69.9%,878,0.12303811659192825,0.6740936325292576,591.8542093606882,606,0.6902050113895216,1.6111378860264036,0.6588455819804078,0.7199073068287274
development_2021_2023_exposed,elo_global,70-74.9%,675,0.0945908071748879,0.7237552360971529,488.53478436557816,492,0.7288888888888889,0.5133652791736054,0.694128415461614,0.7610588686751049
development_2021_2023_exposed,elo_global,75-79.9%,507,0.07104820627802691,0.7741623412442546,392.5003070108371,385,0.7593688362919132,-1.479350495234144,0.7202984422135494,0.7945383930878571
development_2021_2023_exposed,elo_global,80-84.9%,348,0.04876681614349776,0.8220831158675452,286.08492432190576,291,0.8362068965517241,1.4123780684178855,0.7936918539377608,0.8713804226049854
development_2021_2023_exposed,elo_global,85-89.9%,194,0.02718609865470852,0.8736304211651661,169.48430170604223,166,0.8556701030927835,-1.796031807238263,0.7993105892498205,0.8982176276497065
development_2021_2023_exposed,elo_global,90-94.9%,91,0.012752242152466368,0.9230045659386847,83.99341550042031,79,0.8681318681318682,-5.487269780681658,0.7835131821428026,0.9229289248546154
development_2021_2023_exposed,elo_global,95%+,18,0.002522421524663677,0.9597573138858642,17.275631649945556,17,0.9444444444444444,-1.531286944141974,0.7424269921812741,0.990124809021697
development_2021_2023_exposed,ranking_baseline,50-54.9%,1675,0.23525280898876405,0.5247154527037179,878.8983832787275,893,0.533134328358209,0.8418875654491065,0.5091936053434737,0.5569234180459607
development_2021_2023_exposed,ranking_baseline,55-59.9%,1466,0.2058988764044944,0.5743785771071293,842.0389940390514,807,0.5504774897680764,-2.390108733905283,0.5249145216976412,0.575776610064791
development_2021_2023_exposed,ranking_baseline,60-64.9%,1198,0.16825842696629215,0.6248164151530494,748.5300653533532,753,0.6285475792988314,0.37311641457820066,0.6008158458132279,0.6554575567553812
development_2021_2023_exposed,ranking_baseline,65-69.9%,959,0.13469101123595506,0.6746203407950819,646.9609068224836,633,0.6600625651720542,-1.4557775623027736,0.6294970677492958,0.6893508559535525
development_2021_2023_exposed,ranking_baseline,70-74.9%,704,0.09887640449438202,0.7232742272759212,509.18505600224853,525,0.7457386363636364,2.2464409087715187,0.7122988350237314,0.7765111883061488
development_2021_2023_exposed,ranking_baseline,75-79.9%,561,0.07879213483146068,0.7724586837369734,433.34932157644204,455,0.8110516934046346,3.8593009667661216,0.7765835133811081,0.8412889790677653
development_2021_2023_exposed,ranking_baseline,80-84.9%,324,0.04550561797752809,0.8228463485211924,266.60221692086634,271,0.8364197530864198,1.3573404565227376,0.7922442327860825,0.8727113246476418
development_2021_2023_exposed,ranking_baseline,85-89.9%,148,0.020786516853932586,0.870372651917461,128.81515248378423,121,0.8175675675675675,-5.2805084349893505,0.7475822975615198,0.8714844627954279
development_2021_2023_exposed,ranking_baseline,90-94.9%,59,0.008286516853932585,0.9208892629361595,54.332466513233406,51,0.864406779661017,-5.648248327514249,0.7546033919346271,0.9296582532746629
development_2021_2023_exposed,ranking_baseline,95%+,26,0.003651685393258427,0.9685036110161734,25.18109388642051,23,0.8846153846153846,-8.388822640078885,0.7102409678828635,0.9599675537638938
development_2021_2023_exposed,stack_market_elo,50-54.9%,881,0.1234585201793722,0.525830392499955,463.25657579246035,460,0.5221339387060159,-0.3696453793939125,0.48912531638321277,0.5549503760600174
development_2021_2023_exposed,stack_market_elo,55-59.9%,1154,0.1617152466367713,0.5750114752079403,663.5632423899631,624,0.5407279029462738,-3.428357226166645,0.5118880925138547,0.5692974612455888
development_2021_2023_exposed,stack_market_elo,60-64.9%,1101,0.15428811659192826,0.6249476087699722,688.0673172557395,648,0.5885558583106267,-3.6391750459345507,0.559229663784459,0.6172662474100238
