period,estimator,group,n,log_loss,top_pick_accuracy,n_ge_80,share_ge_80,mean_p_ge_80,win_rate_ge_80,wilson_low,wilson_high
development_2021_2023_exposed,market_multiplicative,year=2021,2240,0.5895443411216579,0.678125,464,0.20714285714285716,0.874101582610927,0.8728448275862069,0.8394405563093983,0.9001262210176375
development_2021_2023_exposed,market_multiplicative,year=2022,2415,0.5765101209448613,0.6807453416149069,520,0.2153209109730849,0.8692720910153915,0.8730769230769231,0.8417035207457746,0.8989785949338258
development_2021_2023_exposed,market_multiplicative,year=2023,2481,0.5809711910839074,0.679161628375655,494,0.19911326078194277,0.8739174437674069,0.8927125506072875,0.8623287052845705,0.917035875799354
development_2021_2023_exposed,market_multiplicative,surface=Clay,2163,0.5829298100306559,0.6828478964401294,420,0.1941747572815534,0.8774992378032282,0.8857142857142857,0.8517280192864081,0.912708760686709
development_2021_2023_exposed,market_multiplicative,surface=Grass,844,0.5638346550230973,0.6919431279620853,212,0.25118483412322273,0.8713219587165677,0.8915094339622641,0.842470831146356,0.9266121842621948
development_2021_2023_exposed,market_multiplicative,surface=Hard,4129,0.5854897465094996,0.6749818357955921,846,0.20489222572051344,0.8700353472284922,0.8735224586288416,0.8494231811090981,0.8942449389153263
development_2021_2023_exposed,market_multiplicative,tourney_level=250,2810,0.618827462395087,0.6441281138790036,334,0.11886120996441281,0.8575752250276603,0.8622754491017964,0.8211791314411561,0.8951331910451112
development_2021_2023_exposed,market_multiplicative,tourney_level=500,1053,0.5660597891538514,0.6999050332383666,219,0.20797720797720798,0.8644780915880007,0.8995433789954338,0.8525908999596908,0.9327207782447272
development_2021_2023_exposed,market_multiplicative,tourney_level=A,160,0.5543637149368211,0.675,42,0.2625,0.8624947497548059,0.9047619047619048,0.7793489419142897,0.9623377511944261
development_2021_2023_exposed,market_multiplicative,tourney_level=D,94,0.49866685648436204,0.7127659574468085,33,0.35106382978723405,0.8870606391248814,0.9696969696969697,0.846812746178811,0.9946305894631283
development_2021_2023_exposed,market_multiplicative,tourney_level=F,39,0.5747072446321629,0.6666666666666666,6,0.15384615384615385,0.8376246163464659,1.0,0.6096657120978346,1.0
development_2021_2023_exposed,market_multiplicative,tourney_level=G,1412,0.5053321967908623,0.7436260623229461,548,0.3881019830028329,0.8924996250459134,0.8959854014598541,0.8676095930622727,0.9188481713243943
development_2021_2023_exposed,market_multiplicative,tourney_level=M,1567,0.6047769572256088,0.6694320357370772,295,0.18825781748564135,0.8577175961024058,0.8372881355932204,0.7908804603772632,0.8750244672231628
development_2021_2023_exposed,market_multiplicative,tourney_level=O,1,0.07364868302314558,1.0,1,1.0,0.92899800928998,1.0,0.20654931437723745,1.0
development_2021_2023_exposed,market_multiplicative,best_of=3,5697,0.6009025680682297,0.6642092329296121,926,0.16254168860803933,0.8604876357016668,0.8693304535637149,0.8460877356520625,0.8895215378551741
development_2021_2023_exposed,market_multiplicative,best_of=5,1439,0.5079213766426784,0.7394023627519111,552,0.38359972202918696,0.8922251598203428,0.8967391304347826,0.8685518150273035,0.9194426626233678
development_2021_2023_exposed,elo_global,year=2021,2240,0.6473932970529224,0.6196428571428572,52,0.023214285714285715,0.8361133568480386,0.9038461538461539,0.7939036987986837,0.9582256489474276
development_2021_2023_exposed,elo_global,year=2022,2415,0.6230209578192158,0.643064182194617,260,0.10766045548654245,0.8529252544371972,0.8423076923076923,0.7930661194681013,0.8815814540998127
development_2021_2023_exposed,elo_global,year=2023,2481,0.6310750359541898,0.638049173720274,339,0.13663845223700122,0.8601764379603084,0.8466076696165191,0.8043812296826581,0.8810667928766694
development_2021_2023_exposed,elo_global,surface=Clay,2163,0.6454260973592844,0.6144244105409153,206,0.09523809523809523,0.8570872433428438,0.8398058252427184,0.7835701375023907,0.8836002147568716
development_2021_2023_exposed,elo_global,surface=Grass,844,0.6154351893913521,0.6670616113744076,79,0.09360189573459715,0.8578419314832392,0.8607594936708861,0.7676266841134808,0.9204345935539421
development_2021_2023_exposed,elo_global,surface=Hard,4129,0.6308960557761822,0.6374424800193752,366,0.08864131751029306,0.853849148804678,0.8524590163934426,0.8124694111992755,0.8851267988705184
development_2021_2023_exposed,elo_global,tourney_level=250,2810,0.6664211955686868,0.5765124555160143,103,0.03665480427046263,0.8497303180886175,0.8252427184466019,0.7405963558470099,0.8865010344314423
development_2021_2023_exposed,elo_global,tourney_level=500,1053,0.6116327273452408,0.6733143399810066,124,0.1177587844254511,0.8520189880913623,0.8306451612903226,0.754939184073531,0.8864802799753758
development_2021_2023_exposed,elo_global,tourney_level=A,160,0.6448960518146666,0.61875,12,0.075,0.8473478700226186,0.6666666666666666,0.39062208887279953,0.8618799089087867
