period,estimator,group,n,top_pick_accuracy,n_ge_80,share_ge_80,mean_p_ge_80,win_rate_ge_80,wilson_low,wilson_high
development_2021_2023,market_multiplicative,year=2021,2009,0.6849178695868592,369,0.1836734693877551,0.8609113507970868,0.8970189701897019,0.8618076706137308,0.9240491408223299
development_2021_2023,market_multiplicative,year=2022,1982,0.6659939455095862,388,0.19576185671039353,0.8663688908623618,0.8685567010309279,0.8312939545235039,0.8985930790251158
development_2021_2023,market_multiplicative,year=2023,2022,0.6844708209693373,356,0.17606330365974282,0.8657900743682008,0.8904494382022472,0.853742740072513,0.9188197126006377
development_2021_2023,market_multiplicative,surface=Clay,1595,0.664576802507837,291,0.18244514106583073,0.8695224517262535,0.872852233676976,0.8296595211145673,0.9063292399909971
development_2021_2023,market_multiplicative,surface=Grass,731,0.6634746922024624,141,0.19288645690834474,0.8605259623596825,0.9148936170212766,0.8571335147826399,0.9506462531969112
development_2021_2023,market_multiplicative,surface=Hard,3687,0.6875508543531327,681,0.18470301057770544,0.8629713515840614,0.8839941262848752,0.8577598889465794,0.9059205122087666
development_2021_2023,market_multiplicative,level=1000/Premier Mandatory,1354,0.6624815361890695,215,0.1587887740029542,0.8539585818464666,0.8697674418604651,0.8182160192184276,0.9083373535146397
development_2021_2023,market_multiplicative,level=250/International,2034,0.6622418879056047,317,0.15585054080629301,0.866229098002079,0.8643533123028391,0.8222704124969795,0.897711353104881
development_2021_2023,market_multiplicative,level=500/Premier,1041,0.7012487992315082,171,0.1642651296829971,0.8606143636785625,0.8771929824561403,0.8195545840560874,0.9182566929150908
development_2021_2023,market_multiplicative,level=Finals,46,0.5217391304347826,4,0.08695652173913043,0.8333361933107928,0.75,0.30064184258240184,0.9544127391902995
development_2021_2023,market_multiplicative,level=Grand Slam,1265,0.7067193675889328,345,0.2727272727272727,0.8696792586484886,0.9101449275362319,0.875280790779088,0.935975993195844
development_2021_2023,market_multiplicative,level=Other,227,0.6651982378854625,44,0.19383259911894274,0.8598534841337636,0.9318181818181818,0.8177495562977846,0.9765406040926183
development_2021_2023,market_multiplicative,level=Team (BJK/United Cup),46,0.8043478260869565,17,0.3695652173913043,0.910686288956474,0.9411764705882353,0.7301796936242461,0.9895395990150025
development_2021_2023,elo_global,year=2021,2009,0.6515679442508711,254,0.12643106022896963,0.850946203699824,0.8464566929133859,0.7969895605564282,0.8856004341053395
development_2021_2023,elo_global,year=2022,1982,0.6342078708375378,281,0.14177598385469223,0.856033254321925,0.8149466192170819,0.7654013371087598,0.8559969689272318
development_2021_2023,elo_global,year=2023,2022,0.6399604352126608,252,0.12462908011869436,0.8494472493860161,0.8174603174603174,0.7651200960551907,0.8602672072283464
development_2021_2023,elo_global,surface=Clay,1595,0.6231974921630095,179,0.1122257053291536,0.8576781545000551,0.7988826815642458,0.7341647507246026,0.8510416936460418
development_2021_2023,elo_global,surface=Grass,731,0.6347469220246238,122,0.16689466484268126,0.8543751291437212,0.8442622950819673,0.769533914546802,0.8979726511525664
development_2021_2023,elo_global,surface=Hard,3687,0.6514781665310551,486,0.13181448331977216,0.8497700239474247,0.831275720164609,0.7954110489418705,0.8619444978410075
development_2021_2023,elo_global,level=1000/Premier Mandatory,1354,0.6454948301329394,182,0.1344165435745938,0.8489265891756729,0.7802197802197802,0.7146103676445454,0.8342445576625839
development_2021_2023,elo_global,level=250/International,2034,0.6022615535889873,153,0.0752212389380531,0.8456668074167453,0.8496732026143791,0.784524700823098,0.8976928761144234
development_2021_2023,elo_global,level=500/Premier,1041,0.6685878962536023,157,0.15081652257444764,0.8484741325660187,0.8089171974522293,0.7403336670599492,0.8627446730099173
development_2021_2023,elo_global,level=Finals,46,0.5217391304347826,2,0.043478260869565216,0.8116367876178071,0.5,0.09453120573423074,0.9054687942657693
development_2021_2023,elo_global,level=Grand Slam,1265,0.6766798418972332,268,0.21185770750988142,0.8588964693181457,0.8544776119402985,0.8072516876062386,0.8916851148383196
development_2021_2023,elo_global,level=Other,227,0.6696035242290749,16,0.07048458149779736,0.8638856066718139,0.75,0.5050168346449122,0.8981793250878696
development_2021_2023,elo_global,level=Team (BJK/United Cup),46,0.717391304347826,9,0.1956521739130435,0.890510045849466,1.0,0.7008549515804559,1.0
SEALED_HOLDOUT_2024_2025,market_multiplicative,year=2024,2116,0.6597353497164461,356,0.16824196597353497,0.8684929000128123,0.9101123595505618,0.8758594797970757,0.9356089956725647
SEALED_HOLDOUT_2024_2025,market_multiplicative,year=2025,2223,0.6752136752136753,412,0.18533513270355376,0.8689379738080447,0.8349514563106796,0.796043669808782,0.8676708159539468
SEALED_HOLDOUT_2024_2025,market_multiplicative,surface=Clay,1029,0.685131195335277,200,0.19436345966958213,0.871058917283654,0.905,0.8563983883518006,0.9383368972826135
SEALED_HOLDOUT_2024_2025,market_multiplicative,surface=Grass,544,0.6617647058823529,95,0.17463235294117646,0.863893387317837,0.7789473684210526,0.6855857690767467,0.8506264705275474
SEALED_HOLDOUT_2024_2025,market_multiplicative,surface=Hard,2766,0.6623282718727405,473,0.1710050614605929,0.8687193707432354,0.8731501057082452,0.840122050878905,0.9001659284277307
SEALED_HOLDOUT_2024_2025,market_multiplicative,level=1000/Premier Mandatory,1336,0.6504491017964071,212,0.15868263473053892,0.8613334870483644,0.8679245283018868,0.815735976750673,0.9070167365248326
SEALED_HOLDOUT_2024_2025,market_multiplicative,level=250/International,1168,0.6601027397260274,140,0.11986301369863013,0.867152969288819,0.9142857142857143,0.8561546785666259,0.9502887554130033
SEALED_HOLDOUT_2024_2025,market_multiplicative,level=500/Premier,843,0.6500593119810202,106,0.1257413997627521,0.8599281450444909,0.8584905660377359,0.7795766972144925,0.9123296268271689
SEALED_HOLDOUT_2024_2025,market_multiplicative,level=Finals,30,0.6666666666666666,5,0.16666666666666666,0.836135156610802,0.8,0.37553462976252533,0.9637758913675698
SEALED_HOLDOUT_2024_2025,market_multiplicative,level=Grand Slam,912,0.7192982456140351,289,0.3168859649122807,0.8771345061401359,0.8581314878892734,0.8131959531537661,0.8936711715819615
SEALED_HOLDOUT_2024_2025,market_multiplicative,level=Olympics,50,0.66,16,0.32,0.8973044516574046,0.8125,0.5699111903802586,0.9340840092857187
SEALED_HOLDOUT_2024_2025,elo_global,year=2024,2116,0.6332703213610587,311,0.14697542533081284,0.8576557259567724,0.8263665594855305,0.7803541163620449,0.8644148437373647
SEALED_HOLDOUT_2024_2025,elo_global,year=2025,2223,0.6455240665766981,364,0.16374269005847952,0.863141767295375,0.8021978021978022,0.758212261226496,0.8398714912284985
SEALED_HOLDOUT_2024_2025,elo_global,surface=Clay,1029,0.6598639455782312,166,0.16132167152575316,0.8606454901724142,0.8373493975903614,0.7736953899222655,0.8857431286684231
SEALED_HOLDOUT_2024_2025,elo_global,surface=Grass,544,0.6433823529411765,88,0.16176470588235295,0.8640970985208418,0.7045454545454546,0.6022884358332854,0.7896914005310769
SEALED_HOLDOUT_2024_2025,elo_global,surface=Hard,2766,0.631236442516269,421,0.15220535068691252,0.8598737245359096,0.8266033254156769,0.7875291289852888,0.8597711621947788
SEALED_HOLDOUT_2024_2025,elo_global,level=1000/Premier Mandatory,1336,0.6339820359281437,239,0.17889221556886228,0.8557084859324231,0.8284518828451883,0.7755576148405718,0.8709547260193284
SEALED_HOLDOUT_2024_2025,elo_global,level=250/International,1168,0.6078767123287672,60,0.05136986301369863,0.8473391189246156,0.7666666666666667,0.6456372962239805,0.8556043826335717
SEALED_HOLDOUT_2024_2025,elo_global,level=500/Premier,843,0.6227758007117438,110,0.13048635824436536,0.8568441402638652,0.7545454545454545,0.666436424240854,0.8254757541528077
SEALED_HOLDOUT_2024_2025,elo_global,level=Finals,30,0.5666666666666667,2,0.06666666666666667,0.8373813944759374,1.0,0.34238022750665303,1.0
SEALED_HOLDOUT_2024_2025,elo_global,level=Grand Slam,912,0.7039473684210527,251,0.27521929824561403,0.8697537416729283,0.8366533864541833,0.7859079053146213,0.8772494976529549
SEALED_HOLDOUT_2024_2025,elo_global,level=Olympics,50,0.68,13,0.26,0.8710808782203602,0.7692307692307693,0.49743624053272495,0.9182047128150143
