model,band,n,mean_model_probability,mean_market_probability,actual_win_rate,model_calibration_error,market_calibration_error
fundamentals,model << market (<= -0.20),125,0.33115841801828955,0.5753653005987506,0.664,0.3328415819817105,0.08863469940124946
fundamentals,"model < market (-0.20, -0.10]",918,0.3530293810920729,0.48578009209184386,0.5043572984749455,0.1513279173828726,0.01857720638310162
fundamentals,"model < market (-0.10, -0.05]",2231,0.3122102177066405,0.3825408431717621,0.3854773644105782,0.07326714670393775,0.0029365212388161033
fundamentals,"model ~= market (-0.05, +0.05)",10150,0.3092897536411273,0.3123258706171167,0.31389162561576356,0.00460187197463624,0.0015657549986468622
fundamentals,"model > market [+0.05, +0.10)",2225,0.3883446322643738,0.3169042125133068,0.3047191011235955,0.08362553114077831,0.01218511138971129
fundamentals,"model > market [+0.10, +0.20)",1113,0.4490961682608294,0.31488086349709,0.29559748427672955,0.15349868398409983,0.01928337922036044
fundamentals,model >> market (>= +0.20),131,0.5021480052039993,0.2595628327522306,0.24427480916030533,0.25787319604369396,0.015288023591925243
market_fundamentals,model << market (<= -0.20),0,,,,,
market_fundamentals,"model < market (-0.20, -0.10]",123,0.21215182225776183,0.33023537627190847,0.2926829268292683,0.08053110457150645,0.03755244944264019
market_fundamentals,"model < market (-0.10, -0.05]",927,0.25633701390108893,0.32270217012005187,0.31715210355987056,0.06081508965878163,0.00555006656018131
market_fundamentals,"model ~= market (-0.05, +0.05)",14684,0.3268887518542066,0.3273481643817662,0.3261372922909289,0.0007514595632777121,0.0012108720908373116
market_fundamentals,"model > market [+0.05, +0.10)",1043,0.4826888074829716,0.41706292135542167,0.43528283796740175,0.04740596951556986,0.01821991661198008
market_fundamentals,"model > market [+0.10, +0.20)",116,0.5500177202074602,0.4263712436353855,0.5,0.0500177202074602,0.07362875636461452
market_fundamentals,model >> market (>= +0.20),0,,,,,
ensemble,model << market (<= -0.20),0,,,,,
ensemble,"model < market (-0.20, -0.10]",56,0.43983824166558183,0.5605427227477148,0.625,0.18516175833441817,0.06445727725228523
ensemble,"model < market (-0.10, -0.05]",292,0.3620724919291837,0.42833915745644996,0.4280821917808219,0.06600969985163818,0.0002569656756280514
ensemble,"model ~= market (-0.05, +0.05)",16151,0.3314296414231017,0.33167481890729483,0.33162033310630923,0.00019069168320751118,5.448580098560418e-05
ensemble,"model > market [+0.05, +0.10)",339,0.37545695777691607,0.30660898371879536,0.2949852507374631,0.08047170703945294,0.011623732981332235
ensemble,"model > market [+0.10, +0.20)",55,0.3717062456818335,0.24934777993546123,0.2727272727272727,0.09897897295456082,0.02337949279181148
ensemble,model >> market (>= +0.20),0,,,,,
elo_poisson,model << market (<= -0.20),125,0.3757137621306999,0.6118679601460069,0.664,0.28828623786930013,0.05213203985399317
elo_poisson,"model < market (-0.20, -0.10]",1025,0.393529487345853,0.5283802486067776,0.551219512195122,0.15769002484926897,0.022839263588344427
elo_poisson,"model < market (-0.10, -0.05]",1772,0.3642453540356099,0.4354296471942466,0.4272009029345372,0.0629555488989273,0.008228744259709375
elo_poisson,"model ~= market (-0.05, +0.05)",10665,0.3039639022994099,0.3068195641960061,0.3061415846225973,0.00217768232318738,0.0006779795734088157
elo_poisson,"model > market [+0.05, +0.10)",2066,0.3634475881641177,0.29231032019002445,0.28751210067763794,0.07593548748647977,0.0047982195123865146
elo_poisson,"model > market [+0.10, +0.20)",1132,0.43067479807470593,0.2961273536757545,0.3047703180212014,0.12590448005350452,0.008642964345446924
elo_poisson,model >> market (>= +0.20),108,0.5096637153908234,0.2776433084041739,0.2037037037037037,0.3059600116871197,0.0739396047004702
